image_id,gold,P0_ko_first,P1_ch_first,P2_more_digits,P3_ch_if_disagree_year
000774,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08
000775,2025-12-17,NONE,NONE,NONE,NONE
000776,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09
000777,2026-03-NONE,2030-04-03,2026-03-NONE,2026-03-NONE,2026-03-NONE
000778,2026-06-22,NONE,NONE,NONE,NONE
000779,2026-06-03,2026-06-03,2026-06-03,2026-06-03,2026-06-03
000780,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27
000781,2026-10-02,2026-10-02,2026-10-02,2026-10-02,2026-10-02
000782,NONE-12-19,NONE-12-19,NONE-12-19,NONE-12-19,NONE-12-19
000783,2025-12-21,2025-12-21,2025-12-21,2025-12-21,2025-12-21
000784,2027-05-22,NONE,NONE,NONE,NONE
000785,2026-10-15,NONE,NONE,NONE,NONE
000786,NONE-12-17,NONE,NONE,NONE,NONE
000787,2026-04-09,2026-04-09,2026-04-09,2026-04-09,2026-04-09
000788,NONE-12-21,NONE,NONE,NONE,NONE
000789,NONE-12-19,NONE-12-19,2030-02-20,2030-02-20,2030-02-20
000790,2027-07-NONE,NONE,NONE,NONE,NONE
000791,2026-06-30,NONE,NONE,NONE,NONE
000792,2026-04-05,2026-04-05,2026-04-05,2026-04-05,2026-04-05
000793,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06
000794,2026-10-27,2026-10-27,2026-10-27,2026-10-27,2026-10-27
000795,2026-07-14,NONE,NONE,NONE,NONE
000796,2026-07-14,NONE,NONE,NONE,NONE
000797,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000798,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20
000799,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20
000800,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12
000801,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25
000802,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03
000803,2026-09-13,2026-09-13,2026-09-13,2026-09-13,2026-09-13
000804,2027-09-01,NONE,NONE,NONE,NONE
000805,2027-07-NONE,NONE,NONE,NONE,NONE
000806,2026-10-02,2026-10-02,2026-10-02,2026-10-02,2026-10-02
000807,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29
000808,2026-06-12,NONE,NONE,NONE,NONE
000809,2026-08-30,NONE,NONE,NONE,NONE
000810,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
000811,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
000812,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29
000813,2026-08-24,2024-01-02,2026-08-24,2026-08-24,2026-08-24
000814,2026-06-22,NONE,NONE,NONE,NONE
000815,2026-06-22,NONE,NONE,NONE,NONE
000816,2026-10-09,NONE,NONE,NONE,NONE
000817,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000818,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000819,2026-05-18,NONE,NONE,NONE,NONE
000820,2026-05-18,NONE,NONE,NONE,NONE
000821,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02
000822,2026-02-02,NONE,NONE,NONE,NONE
000823,2027-02-23,2027-02-23,2027-02-23,2027-02-23,2027-02-23
000824,NONE-12-18,NONE-12-18,NONE-12-18,NONE-12-18,NONE-12-18
000825,2026-06-22,2017-02-06,2026-06-22,2026-06-22,2026-06-22
000826,2026-06-22,2026-06-11,2026-06-22,2026-06-22,2026-06-22
000827,2026-08-09,NONE,NONE,NONE,NONE
000828,NONE-12-21,NONE,NONE,NONE,NONE
000829,2026-03-20,2026-03-20,2026-03-20,2026-03-20,2026-03-20
000830,2025-12-20,2025-12-20,2025-12-20,2025-12-20,2025-12-20
000831,2026-07-16,NONE,NONE,NONE,NONE
000832,2026-07-16,NONE,NONE,NONE,NONE
000833,2026-04-27,2026-04-27,2026-04-27,2026-04-27,2026-04-27
000834,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02
000835,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02
000836,2026-05-18,NONE,NONE,NONE,NONE
000837,NONE-NONE-NONE,NONE,2026-02-NONE,2026-02-NONE,2026-02-NONE
000838,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000839,2026-01-03,2026-01-03,2026-01-03,2026-01-03,2026-01-03
000840,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01
000841,2025-12-22,2025-12-22,2025-12-22,2025-12-22,2025-12-22
000842,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03
000843,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000844,2026-07-03,2026-07-03,2026-07-03,2026-07-03,2026-07-03
000845,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000846,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000847,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000848,2026-05-21,NONE,NONE,NONE,NONE
000849,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2026-05-21
000850,2026-08-09,2026-08-09,2026-08-09,2026-08-09,2026-08-09
000851,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-06-30
000852,2026-08-14,NONE,NONE,NONE,NONE
000853,2026-09-24,2026-05-24,2026-09-24,2026-09-24,2026-09-24
000854,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04
000855,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000856,2026-06-03,2026-03-16,2026-06-03,2026-06-03,2026-06-03
000857,2025-01-28,2025-01-28,2025-01-28,2025-01-28,2025-01-28
000858,2021-10-28,NONE,NONE,NONE,NONE
000859,2021-10-28,NONE,NONE,NONE,NONE
000860,2022-07-23,NONE,NONE,NONE,NONE
000861,2022-07-23,NONE,NONE,NONE,NONE
000862,2021-10-22,NONE,NONE,NONE,NONE
000863,2021-10-22,NONE,NONE,NONE,NONE
000864,2023-03-04,2023-03-04,2023-03-04,2023-03-04,2023-03-04
000865,2021-09-25,NONE,NONE,NONE,NONE
000866,2021-09-25,2021-09-25,2021-09-25,2021-09-25,2021-09-25
000867,2021-10-23,NONE,NONE,NONE,NONE
000868,2021-10-23,NONE,NONE,NONE,NONE
000869,2021-09-15,2021-09-15,2021-09-15,2021-09-15,2021-09-15
000870,2021-10-15,2021-10-15,2021-10-15,2021-10-15,2021-10-15
000871,2021-10-15,2021-10-15,2021-10-15,2021-10-15,2021-10-15
000872,2021-02-26,NONE,NONE,NONE,NONE
000873,2021-02-26,2021-08-26,2021-08-26,2021-08-26,2021-08-26
000874,NONE-04-05,NONE,NONE,NONE,NONE
000875,NONE-04-05,NONE,NONE,NONE,NONE
000876,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01
000877,2023-04-03,NONE,NONE,NONE,NONE
000878,2023-04-03,NONE,NONE,NONE,NONE
000879,2021-05-11,2021-05-11,2021-05-11,2021-05-11,2021-05-11
000880,2021-05-11,2021-05-11,2021-05-11,2021-05-11,2021-05-11
000881,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08
000882,2021-06-08,2021-06-08,2021-06-08,2021-06-08,2021-06-08
000883,2021-07-03,NONE,NONE,NONE,NONE
000884,2021-07-03,NONE,NONE,NONE,NONE
000885,2021-07-09,NONE,NONE-07-09,NONE-07-09,NONE-07-09
000886,2021-07-09,NONE,NONE,NONE,NONE
000887,2021-12-04,NONE,NONE,NONE,NONE
000888,2021-12-04,2021-12-NONE,2021-12-NONE,2021-12-NONE,2021-12-NONE
000889,2021-05-27,NONE,NONE,NONE,NONE
000890,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05
000891,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05
000892,2022-02-07,2022-02-07,2022-02-07,2022-02-07,2022-02-07
000893,2022-02-07,2022-02-07,2022-02-07,2022-02-07,2022-02-07
000894,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02
000895,2021-06-02,2021-06-02,2021-06-02,2021-06-02,2021-06-02
000896,2023-02-15,2023-02-15,2023-02-15,2023-02-15,2023-02-15
000897,2025-05-19,NONE,NONE,NONE,NONE
000898,2025-05-19,NONE,NONE,NONE,NONE
000899,2022-09-02,2022-09-02,2022-09-02,2022-09-02,2022-09-02
000900,2022-09-02,NONE,NONE,NONE,NONE
000901,2021-11-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01
000902,2021-11-01,2021-11-01,2021-11-01,2021-11-01,2021-11-01
000903,2021-08-31,2021-08-31,2021-08-31,2021-08-31,2021-08-31
000904,2021-08-31,NONE,NONE,NONE,NONE
000905,2022-01-NONE,NONE,NONE,NONE,NONE
000906,2022-01-NONE,NONE,NONE,NONE,NONE
000907,2022-01-NONE,NONE,NONE,NONE,NONE
000908,2022-01-NONE,NONE,NONE,NONE,NONE
000909,2021-09-20,2021-09-20,2021-09-20,2021-09-20,2021-09-20
000910,2021-09-20,2021-09-20,2021-09-20,2021-09-20,2021-09-20
000911,2022-05-05,2022-05-05,2022-05-05,2022-05-05,2022-05-05
000912,2022-05-05,NONE,NONE,NONE,NONE
000913,2021-10-19,NONE,NONE,NONE,NONE
000914,2021-07-21,2021-07-21,2021-07-21,2021-07-21,2021-07-21
000915,2021-07-21,NONE,NONE,NONE,NONE
000916,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06
000917,2022-06-06,2022-06-06,2022-06-06,2022-06-06,2022-06-06
000918,2021-09-17,NONE,NONE,NONE,NONE
000919,2022-03-11,2022-03-11,2022-03-11,2022-03-11,2022-03-11
000920,2022-03-11,2022-03-11,2022-03-11,2022-03-11,2022-03-11
000921,2022-02-26,NONE,2022-02-NONE,2022-02-NONE,2022-02-NONE
000922,2022-02-26,2022-02-26,2022-02-26,2022-02-26,2022-02-26
000923,NONE-02-01,NONE-02-01,NONE-02-01,NONE-02-01,NONE-02-01
000924,NONE-02-02,NONE-02-02,NONE-02-02,NONE-02-02,NONE-02-02
000925,NONE-02-02,NONE-02-02,NONE,NONE,NONE
000926,2021-06-10,2021-06-10,2021-06-10,2021-06-10,2021-06-10
000927,2021-08-23,2021-08-23,2021-08-23,2021-08-23,2021-08-23
000928,2022-03-13,2022-03-13,2022-03-13,2022-03-13,2022-03-13
000929,2022-03-13,2022-03-13,2022-03-13,2022-03-13,2022-03-13
000930,2021-07-29,2021-07-29,2021-07-29,2021-07-29,2021-07-29
000931,2021-07-29,NONE,NONE,NONE,NONE
000932,2021-05-26,2036-05-01,2021-05-26,2021-05-26,2021-05-26
000933,2021-05-26,NONE,NONE,NONE,NONE
000934,2021-02-10,2021-02-10,2021-02-10,2021-02-10,2021-02-10
000935,2021-02-10,2021-02-10,2021-02-10,2021-02-10,2021-02-10
000936,2021-10-19,2021-10-19,2021-10-19,2021-10-19,2021-10-19
000937,2022-06-11,2022-06-11,2022-06-11,2022-06-11,2022-06-11
000939,2021-10-28,2021-10-28,2021-10-28,2021-10-28,2021-10-28
000940,NONE-NONE-NONE,NONE,NONE,NONE,NONE
000941,2021-07-02,2021-07-02,2021-07-02,2021-07-02,2021-07-02
000942,2021-05-29,2021-05-29,2021-05-29,2021-05-29,2021-05-29
000943,2021-05-29,2021-05-29,2021-05-29,2021-05-29,2021-05-29
000944,2021-07-03,2021-07-03,2021-07-03,2021-07-03,2021-07-03
000945,2021-07-03,2020-04-03,2020-04-03,2020-04-03,2020-04-03
000946,2021-09-30,2021-09-30,2021-09-30,2021-09-30,2021-09-30
000947,2021-09-30,2021-09-30,2021-09-30,2021-09-30,2021-09-30
000948,2021-10-24,2021-10-24,2021-10-24,2021-10-24,2021-10-24
000949,2021-10-24,2021-10-24,2021-10-24,2021-10-24,2021-10-24
000950,2022-09-16,NONE,NONE,NONE,NONE
000951,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05
000952,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05
000953,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05
000954,2021-02-05,NONE,NONE,NONE,NONE
000955,2022-01-25,2022-01-25,2022-01-25,2022-01-25,2022-01-25
000956,2022-01-25,2022-01-25,2022-01-25,2022-01-25,2022-01-25
000957,2021-02-22,2021-02-22,2021-02-22,2021-02-22,2021-02-22
000958,2021-02-22,NONE,NONE,NONE,NONE
000959,2022-07-19,2022-07-19,2022-07-19,2022-07-19,2022-07-19
000960,2022-07-19,2022-07-19,2022-07-19,2022-07-19,2022-07-19
000961,2023-10-21,2023-10-21,2023-10-21,2023-10-21,2023-10-21
000962,2023-10-21,2023-10-21,2023-10-21,2023-10-21,2023-10-21
000963,2023-11-14,2023-11-14,2023-11-14,2023-11-14,2023-11-14
000964,2023-11-14,2023-11-14,2023-11-14,2023-11-14,2023-11-14
000965,2021-07-23,2023-07-20,2023-07-20,2023-07-20,2023-07-20
000966,2021-08-10,2021-08-10,2021-08-10,2021-08-10,2021-08-10
000967,2022-10-17,2022-10-17,2022-10-17,2022-10-17,2022-10-17
000968,2022-10-17,NONE,NONE,NONE,NONE
000969,2022-06-30,2022-06-30,2022-06-30,2022-06-30,2022-06-30
000970,2022-06-30,NONE,NONE,NONE,NONE
000971,2021-11-11,2021-11-11,2021-11-11,2021-11-11,2021-11-11
000972,2021-06-25,2021-06-25,2021-06-25,2021-06-25,2021-06-25
000973,2022-12-02,NONE,NONE,NONE,NONE
000974,2022-12-02,NONE,NONE,NONE,NONE
000975,2023-08-03,2023-08-03,2023-08-03,2023-08-03,2023-08-03
000976,2023-08-03,2023-08-03,2023-08-03,2023-08-03,2023-08-03
000977,2021-11-03,2021-11-03,2021-11-03,2021-11-03,2021-11-03
000979,2021-06-14,2021-06-14,2021-06-14,2021-06-14,2021-06-14
000980,2021-06-14,2021-06-14,2021-06-14,2021-06-14,2021-06-14
000981,2021-08-08,NONE,NONE,NONE,NONE
000982,2022-02-15,2022-02-15,2022-02-15,2022-02-15,2022-02-15
000983,2021-08-20,2021-08-20,2021-08-20,2021-08-20,2021-08-20
000984,2021-08-20,2021-08-20,2021-08-20,2021-08-20,2021-08-20
000985,2021-12-28,NONE,NONE,NONE,NONE
000987,2021-12-28,NONE,NONE,NONE,NONE
000988,2021-12-28,NONE,NONE,NONE,NONE
000989,2021-07-20,NONE,NONE,NONE,NONE
000990,2021-07-20,NONE,NONE,NONE,NONE
000991,2021-03-04,2021-03-04,2021-03-04,2021-03-04,2021-03-04
000992,2021-03-04,NONE,NONE,NONE,NONE
000993,NONE-02-18,NONE,NONE,NONE,NONE
000994,NONE-02-18,NONE,NONE,NONE,NONE
000995,NONE-02-18,NONE,NONE,NONE,NONE
000996,NONE-02-19,NONE,NONE,NONE,NONE
000997,NONE-02-19,NONE,NONE,NONE,NONE
000998,2021-11-11,2021-11-11,2021-11-11,2021-11-11,2021-11-11
000999,2021-11-11,2021-11-11,2021-11-11,2021-11-11,2021-11-11
001000,2021-09-07,2021-09-07,2021-09-07,2021-09-07,2021-09-07
